Geo Point,Geo Shape,Asset Number,Site Name,Site Purpose
"54.337761, -1.7944485","{""coordinates"": [[-1.7944485, 54.337761]], ""type"": ""MultiPoint""}",SITE-00245041,BARDEN FRIAR,PRIMARY SITE
"53.5006549, -1.1142116","{""coordinates"": [[-1.1142116, 53.5006549]], ""type"": ""MultiPoint""}",SITE-00308052,MALLARD WAY 132/33KV,BULK SUPPLY POINT
"53.9088574, -0.7364181","{""coordinates"": [[-0.7364181, 53.9088574]], ""type"": ""MultiPoint""}",SITE-00269225,BURNBY DRIFFIELD 10727,EHV PM SITE
"54.3841943, -1.7188502","{""coordinates"": [[-1.7188502, 54.3841943]], ""type"": ""MultiPoint""}",SITE-00243458,HIPSWELL,PRIMARY SITE
"54.9770962, -2.0920709","{""coordinates"": [[-2.0920709, 54.9770962]], ""type"": ""MultiPoint""}",SITE-00233927,HEXHAM,PRIMARY SITE
"53.589034, -0.6420962","{""coordinates"": [[-0.6420962, 53.589034]], ""type"": ""MultiPoint""}",SITE-00266666,STATION ROAD 33,PRIMARY SITE
"55.1439446, -1.5346301","{""coordinates"": [[-1.5346301, 55.1439446]], ""type"": ""MultiPoint""}",SITE-00309254,BLYTH WINDFARM SW,PRIMARY SITE
"53.3851971, -1.4107743","{""coordinates"": [[-1.4107743, 53.3851971]], ""type"": ""MultiPoint""}",SITE-00272305,DARNALL 63,PRIMARY SITE
"54.5684956, -1.5040714","{""coordinates"": [[-1.5040714, 54.5684956]], ""type"": ""MultiPoint""}",SITE-00308565,MOOR HOUSE GENERATION SW,PRIMARY SITE
"54.5890454, -1.2118375","{""coordinates"": [[-1.2118375, 54.5890454]], ""type"": ""MultiPoint""}",SITE-00309255,PORT CLARENCE GENERATION SW,PRIMARY SITE
"53.6476717, -1.8398431","{""coordinates"": [[-1.8398431, 53.6476717]], ""type"": ""MultiPoint""}",SITE-00272327,PROSPECT ROAD 33/11KV 19,PRIMARY SITE
"53.4366435, -1.3561355","{""coordinates"": [[-1.3561355, 53.4366435]], ""type"": ""MultiPoint""}",SITE-00270930,RAWMARSH ROAD 3/4 5585,BULK SUPPLY POINT
"53.7852513, -0.8701317","{""coordinates"": [[-0.8701317, 53.7852513]], ""type"": ""MultiPoint""}",SITE-00266188,SPALDINGTON AIRFIELD WINDFARM 54148,PRIMARY SITE
"53.5002857, -1.3792058","{""coordinates"": [[-1.3792058, 53.5002857]], ""type"": ""MultiPoint""}",SITE-00270927,WEST MELTON 66KV 1548,BULK SUPPLY POINT
"53.7095726, -1.1361016","{""coordinates"": [[-1.1361016, 53.7095726]], ""type"": ""MultiPoint""}",SITE-00308678,EGGBOROUGH GLASSWORKS 57330,PRIMARY SITE
"53.8027199, -1.3215664","{""coordinates"": [[-1.3215664, 53.8027199]], ""type"": ""MultiPoint""}",SITE-00266185,HOOK MOOR WINDFARM 55669,PRIMARY SITE
"53.6164173, -0.1781585","{""coordinates"": [[-0.1781585, 53.6164173]], ""type"": ""MultiPoint""}",SITE-00309141,IMMINGHAM POWER 57846,PRIMARY SITE
"54.9771327, -1.455858","{""coordinates"": [[-1.455858, 54.9771327]], ""type"": ""MultiPoint""}",SITE-00308046,PORT OF TYNE BESS SW,PRIMARY SITE
"53.5260685, -1.1392387","{""coordinates"": [[-1.1392387, 53.5260685]], ""type"": ""MultiPoint""}",SITE-00266547,GREYFRIARS ROAD 3/4 48565,PRIMARY SITE
"53.4188036, -1.4064797","{""coordinates"": [[-1.4064797, 53.4188036]], ""type"": ""MultiPoint""}",SITE-00268149,BLACKBURN MEADOWS 33/11KV 2492,PRIMARY SITE
"54.3279365, -1.5593554","{""coordinates"": [[-1.5593554, 54.3279365]], ""type"": ""MultiPoint""}",SITE-00233059,LEEMING BAR,BULK SUPPLY POINT
"54.2900992, -1.5904872","{""coordinates"": [[-1.5904872, 54.2900992]], ""type"": ""MultiPoint""}",SITE-00233060,BEDALE,PRIMARY SITE
"54.3468, -1.4792297","{""coordinates"": [[-1.4792297, 54.3468]], ""type"": ""MultiPoint""}",SITE-00233063,NORTHALLERTON,PRIMARY SITE
"53.9958958, -1.6458801","{""coordinates"": [[-1.6458801, 53.9958958]], ""type"": ""MultiPoint""}",SITE-00244979,KNABS RIDGE,PRIMARY SITE
"54.2212733, -1.3479204","{""coordinates"": [[-1.3479204, 54.2212733]], ""type"": ""MultiPoint""}",SITE-00250212,SOWERBY,PRIMARY SITE
"54.1741616, -1.319288","{""coordinates"": [[-1.319288, 54.1741616]], ""type"": ""MultiPoint""}",SITE-00250404,SESSAY BRIDGE,PRIMARY SITE
"54.074768, -1.5221653","{""coordinates"": [[-1.5221653, 54.074768]], ""type"": ""MultiPoint""}",SITE-00234090,WORMALD GREEN,BULK SUPPLY POINT
"54.087064, -1.4140159","{""coordinates"": [[-1.4140159, 54.087064]], ""type"": ""MultiPoint""}",SITE-00234091,BOROUGHBRIDGE,PRIMARY SITE
"55.2282985, -1.6050969","{""coordinates"": [[-1.6050969, 55.2282985]], ""type"": ""MultiPoint""}",SITE-00233255,LINTON,BULK SUPPLY POINT
"55.0629352, -1.6328931","{""coordinates"": [[-1.6328931, 55.0629352]], ""type"": ""MultiPoint""}",SITE-00228771,SEATON BURN,PRIMARY SITE
"55.0237442, -1.4997607","{""coordinates"": [[-1.4997607, 55.0237442]], ""type"": ""MultiPoint""}",SITE-00238281,TYNEMOUTH,PRIMARY SITE
"54.6088108, -1.1223361","{""coordinates"": [[-1.1223361, 54.6088108]], ""type"": ""MultiPoint""}",SITE-00230401,BRAN SANDS,PRIMARY SITE
"54.436183, -0.5359442","{""coordinates"": [[-0.5359442, 54.436183]], ""type"": ""MultiPoint""}",SITE-00236170,ROBIN HOODS BAY SW,PRIMARY SITE
"54.4766232, -1.1877946","{""coordinates"": [[-1.1877946, 54.4766232]], ""type"": ""MultiPoint""}",SITE-00229032,STOKESLEY,PRIMARY SITE
"54.6053925, -1.1804412","{""coordinates"": [[-1.1804412, 54.6053925]], ""type"": ""MultiPoint""}",SITE-00243818,B A S F SW,PRIMARY SITE
"54.5622889, -0.9098902","{""coordinates"": [[-0.9098902, 54.5622889]], ""type"": ""MultiPoint""}",SITE-00232014,CARLIN HOW,PRIMARY SITE
"54.569435, -1.2485184","{""coordinates"": [[-1.2485184, 54.569435]], ""type"": ""MultiPoint""}",SITE-00232015,FARADAY STREET,PRIMARY SITE
"54.6054925, -1.2390466","{""coordinates"": [[-1.2390466, 54.6054925]], ""type"": ""MultiPoint""}",SITE-00233807,SALTHOLME,BULK SUPPLY POINT
"54.4778804, -0.6123605","{""coordinates"": [[-0.6123605, 54.4778804]], ""type"": ""MultiPoint""}",SITE-00233868,WHITBY,PRIMARY SITE
"54.5851109, -1.2772167","{""coordinates"": [[-1.2772167, 54.5851109]], ""type"": ""MultiPoint""}",SITE-00229324,MOND,PRIMARY SITE
"54.5716842, -1.2890594","{""coordinates"": [[-1.2890594, 54.5716842]], ""type"": ""MultiPoint""}",SITE-00229325,MALLEABLE,PRIMARY SITE
"53.6964923, -1.8562846","{""coordinates"": [[-1.8562846, 53.6964923]], ""type"": ""MultiPoint""}",SITE-00266372,SALTERHEBBLE 19,PRIMARY SITE
"53.691796, -1.8304532","{""coordinates"": [[-1.8304532, 53.691796]], ""type"": ""MultiPoint""}",SITE-00266379,LOWFIELDS PRIMARY S/S 3343,PRIMARY SITE
"53.8056138, -1.5969919","{""coordinates"": [[-1.5969919, 53.8056138]], ""type"": ""MultiPoint""}",SITE-00290868,KIRKSTALL B GSP 6037,GRID SUPPLY POINT
"53.9777351, -0.5164655","{""coordinates"": [[-0.5164655, 53.9777351]], ""type"": ""MultiPoint""}",SITE-00272728,KIRKBURN 66KV ABSD 8552,EHV PM SITE
"55.1063593, -1.5965726","{""coordinates"": [[-1.5965726, 55.1063593]], ""type"": ""MultiPoint""}",SITE-00237904,WEST HARTFORD,PRIMARY SITE
"53.7162371, -0.5314528","{""coordinates"": [[-0.5314528, 53.7162371]], ""type"": ""MultiPoint""}",SITE-00308568,GIBSON LANE WINDFARM 56782,PRIMARY SITE
"53.8933207, -1.8916648","{""coordinates"": [[-1.8916648, 53.8933207]], ""type"": ""MultiPoint""}",SITE-00269608,SILSDEN ROAD 1677,EHV PM SITE
"53.5673615, -0.5904409","{""coordinates"": [[-0.5904409, 53.5673615]], ""type"": ""MultiPoint""}",SITE-00266687,BROUGHTON 23,BULK SUPPLY POINT
"54.3571567, -1.6461702","{""coordinates"": [[-1.6461702, 54.3571567]], ""type"": ""MultiPoint""}",SITE-00244040,EAST APPLETON GENERATION SW,PRIMARY SITE
"53.8197631, -0.1401564","{""coordinates"": [[-0.1401564, 53.8197631]], ""type"": ""MultiPoint""}",SITE-00308226,TANSTERNE GENERATION 56391,PRIMARY SITE
"53.7009457, -0.8864159","{""coordinates"": [[-0.8864159, 53.7009457]], ""type"": ""MultiPoint""}",SITE-00266886,GOOLE 3728,PRIMARY SITE
"53.6188866, -1.1597401","{""coordinates"": [[-1.1597401, 53.6188866]], ""type"": ""MultiPoint""}",SITE-00271414,ASKERN PRIMARY 6072,PRIMARY SITE
"53.5842183, -1.2820382","{""coordinates"": [[-1.2820382, 53.5842183]], ""type"": ""MultiPoint""}",SITE-00272437,SOUTH ELMSALL 66/11KV 50000,PRIMARY SITE
"54.1816547, -0.6416729","{""coordinates"": [[-0.6416729, 54.1816547]], ""type"": ""MultiPoint""}",SITE-00229162,KNAPTON GENERATION,PRIMARY SITE
"53.3884485, -1.4652776","{""coordinates"": [[-1.4652776, 53.3884485]], ""type"": ""MultiPoint""}",SITE-00266655,STANLEY STREET 195,PRIMARY SITE
"53.742765, -0.2382836","{""coordinates"": [[-0.2382836, 53.742765]], ""type"": ""MultiPoint""}",SITE-00268148,SALTEND 7859,BULK SUPPLY POINT
"53.3733752, -1.4749809","{""coordinates"": [[-1.4749809, 53.3733752]], ""type"": ""MultiPoint""}",SITE-00268049,ELLIN STREET 622,PRIMARY SITE
"53.7706925, -0.4772881","{""coordinates"": [[-0.4772881, 53.7706925]], ""type"": ""MultiPoint""}",SITE-00272556,EPPLEWORTH BOTTOM LSI 33KV 5992,EHV PM SITE
"53.6127436, -1.7772981","{""coordinates"": [[-1.7772981, 53.6127436]], ""type"": ""MultiPoint""}",SITE-00272998,FARNLEY HEY 33KV LSI 3389,EHV PM SITE
"55.1717886, -1.5694585","{""coordinates"": [[-1.5694585, 55.1717886]], ""type"": ""MultiPoint""}",SITE-00233256,ASHINGTON,PRIMARY SITE
"53.3344757, -1.2598531","{""coordinates"": [[-1.2598531, 53.3344757]], ""type"": ""MultiPoint""}",SITE-00266955,KIVETON PARK 2461,PRIMARY SITE
"53.7321645, -1.688684","{""coordinates"": [[-1.688684, 53.7321645]], ""type"": ""MultiPoint""}",SITE-00266698,BURNLEYVILLE 4,PRIMARY SITE
"54.551677, -0.8280255","{""coordinates"": [[-0.8280255, 54.551677]], ""type"": ""MultiPoint""}",SITE-00238435,CLEVELAND POTASH,PRIMARY SITE
"53.6057016, -1.8432786","{""coordinates"": [[-1.8432786, 53.6057016]], ""type"": ""MultiPoint""}",SITE-00269126,HARRISON LANE 33KV LSI 28,EHV PM SITE
"53.7928461, -1.8953513","{""coordinates"": [[-1.8953513, 53.7928461]], ""type"": ""MultiPoint""}",SITE-00273813,DENHOLMGATE 33KV LSI 25,EHV PM SITE
"53.5583564, -0.582638","{""coordinates"": [[-0.582638, 53.5583564]], ""type"": ""MultiPoint""}",SITE-00318427,RAVENTHORPE SOLAR 55989,PRIMARY SITE
"53.5543631, -1.4760593","{""coordinates"": [[-1.4760593, 53.5543631]], ""type"": ""MultiPoint""}",SITE-00272226,BARNSLEY 22493,PRIMARY SITE
"54.9718179, -1.6088583","{""coordinates"": [[-1.6088583, 54.9718179]], ""type"": ""MultiPoint""}",SITE-00229087,PILGRIM,PRIMARY SITE
"54.990927, -1.4818509","{""coordinates"": [[-1.4818509, 54.990927]], ""type"": ""MultiPoint""}",SITE-00228773,HOWDON,PRIMARY SITE
"55.0127414, -1.434355","{""coordinates"": [[-1.434355, 55.0127414]], ""type"": ""MultiPoint""}",SITE-00228776,TYNEMOUTH CENTRAL,PRIMARY SITE
"54.8461574, -1.4860003","{""coordinates"": [[-1.4860003, 54.8461574]], ""type"": ""MultiPoint""}",SITE-00232588,HOUGHTON,PRIMARY SITE
"54.9886619, -1.7242999","{""coordinates"": [[-1.7242999, 54.9886619]], ""type"": ""MultiPoint""}",SITE-00229077,BLUCHER,PRIMARY SITE
"55.014837, -1.6668407","{""coordinates"": [[-1.6668407, 55.014837]], ""type"": ""MultiPoint""}",SITE-00229082,FAWDON,PRIMARY SITE
"54.9862366, -1.4430734","{""coordinates"": [[-1.4430734, 54.9862366]], ""type"": ""MultiPoint""}",SITE-00232701,GARWOOD STREET,PRIMARY SITE
"54.9719306, -1.5250669","{""coordinates"": [[-1.5250669, 54.9719306]], ""type"": ""MultiPoint""}",SITE-00232703,HEBBURN WEST,PRIMARY SITE
"54.9589508, -1.4871048","{""coordinates"": [[-1.4871048, 54.9589508]], ""type"": ""MultiPoint""}",SITE-00232704,HEDWORTH,PRIMARY SITE
"54.6015131, -1.1333738","{""coordinates"": [[-1.1333738, 54.6015131]], ""type"": ""MultiPoint""}",SITE-00232019,LACKENBY OXYGEN NORTH,PRIMARY SITE
"54.916388, -1.4967911","{""coordinates"": [[-1.4967911, 54.916388]], ""type"": ""MultiPoint""}",SITE-00241161,USWORTH,PRIMARY SITE
"54.9376331, -1.5522623","{""coordinates"": [[-1.5522623, 54.9376331]], ""type"": ""MultiPoint""}",SITE-00233202,LEAM CENTRAL,PRIMARY SITE
"55.0224068, -1.5376032","{""coordinates"": [[-1.5376032, 55.0224068]], ""type"": ""MultiPoint""}",SITE-00228691,BENTON SQUARE,PRIMARY SITE
"54.8544414, -1.8195175","{""coordinates"": [[-1.8195175, 54.8544414]], ""type"": ""MultiPoint""}",SITE-00245346,CONSETT,PRIMARY SITE
"54.8824362, -1.4568031","{""coordinates"": [[-1.4568031, 54.8824362]], ""type"": ""MultiPoint""}",SITE-00241151,OFFERTON,BULK SUPPLY POINT
"54.8958235, -1.4925439","{""coordinates"": [[-1.4925439, 54.8958235]], ""type"": ""MultiPoint""}",SITE-00241154,HIGH BARMSTON,PRIMARY SITE
"54.9725999, -1.5956396","{""coordinates"": [[-1.5956396, 54.9725999]], ""type"": ""MultiPoint""}",SITE-00238294,BREAMISH STREET,PRIMARY SITE
"54.9246993, -1.4646002","{""coordinates"": [[-1.4646002, 54.9246993]], ""type"": ""MultiPoint""}",SITE-00244984,NISSAN NORTH,PRIMARY SITE
"54.9733025, -1.4501138","{""coordinates"": [[-1.4501138, 54.9733025]], ""type"": ""MultiPoint""}",SITE-00234222,SOUTH SHIELDS,BULK SUPPLY POINT
"54.9400729, -1.4719659","{""coordinates"": [[-1.4719659, 54.9400729]], ""type"": ""MultiPoint""}",SITE-00234223,WEST BOLDON,BULK SUPPLY POINT
"54.9665847, -1.8557348","{""coordinates"": [[-1.8557348, 54.9665847]], ""type"": ""MultiPoint""}",SITE-00233928,PRUDHOE WEST,PRIMARY SITE
"54.9649054, -1.8385396","{""coordinates"": [[-1.8385396, 54.9649054]], ""type"": ""MultiPoint""}",SITE-00233930,WEST WYLAM,PRIMARY SITE
"53.4426518, 0.095172","{""coordinates"": [[0.095172, 53.4426518]], ""type"": ""MultiPoint""}",SITE-00266885,GRAINTHORPE 18,PRIMARY SITE
"53.6554696, -1.791383","{""coordinates"": [[-1.791383, 53.6554696]], ""type"": ""MultiPoint""}",SITE-00266880,BIRKBY 1,PRIMARY SITE
"53.7889441, -1.5561962","{""coordinates"": [[-1.5561962, 53.7889441]], ""type"": ""MultiPoint""}",SITE-00266544,SWEET STREET 46829,PRIMARY SITE
"53.9083234, -0.7642043","{""coordinates"": [[-0.7642043, 53.9083234]], ""type"": ""MultiPoint""}",SITE-00266173,HAYTON 1644,PRIMARY SITE
"53.3225606, -0.6945653","{""coordinates"": [[-0.6945653, 53.3225606]], ""type"": ""MultiPoint""}",SITE-00266181,STOW 41,PRIMARY SITE
"53.7798026, -0.3896514","{""coordinates"": [[-0.3896514, 53.7798026]], ""type"": ""MultiPoint""}",SITE-00266777,ENDIKE LANE 5623,PRIMARY SITE
"53.731227, -0.9441852","{""coordinates"": [[-0.9441852, 53.731227]], ""type"": ""MultiPoint""}",SITE-00266733,RUSHOLME WINDFARM 50403,PRIMARY SITE
"53.7813561, -0.3593646","{""coordinates"": [[-0.3593646, 53.7813561]], ""type"": ""MultiPoint""}",SITE-00266745,FIRST AVENUE 6005,PRIMARY SITE
"53.9078027, -2.155971","{""coordinates"": [[-2.155971, 53.9078027]], ""type"": ""MultiPoint""}",SITE-00271131,EARBY ROAD SALTERFORTH 1772,EHV PM SITE
"53.487668, -0.5838329","{""coordinates"": [[-0.5838329, 53.487668]], ""type"": ""MultiPoint""}",SITE-00268061,HIBALDSTOW 30,PRIMARY SITE
"53.8588257, -1.6909644","{""coordinates"": [[-1.6909644, 53.8588257]], ""type"": ""MultiPoint""}",SITE-00266078,RAWDON 5191,PRIMARY SITE
"53.7060649, -1.4986222","{""coordinates"": [[-1.4986222, 53.7060649]], ""type"": ""MultiPoint""}",SITE-00270739,WAKEFIELD NORTH 6040,BULK SUPPLY POINT
"53.7442827, -0.2377168","{""coordinates"": [[-0.2377168, 53.7442827]], ""type"": ""MultiPoint""}",SITE-00268159,YORKSHIRE WATER HULL ROAD 9417,PRIMARY SITE
"53.3772008, 0.0151217","{""coordinates"": [[0.0151217, 53.3772008]], ""type"": ""MultiPoint""}",SITE-00268161,KEDDINGTON ROAD 65,PRIMARY SITE
"54.1575119, -1.227627","{""coordinates"": [[-1.227627, 54.1575119]], ""type"": ""MultiPoint""}",SITE-00234088,HUSTHWAITE,PRIMARY SITE
"53.9594062, -1.1180337","{""coordinates"": [[-1.1180337, 53.9594062]], ""type"": ""MultiPoint""}",SITE-00232838,SEVERUS HILL,PRIMARY SITE
"53.7459654, -0.3531547","{""coordinates"": [[-0.3531547, 53.7459654]], ""type"": ""MultiPoint""}",SITE-00272228,CLARENDON STREET 5618,PRIMARY SITE
"53.525798, -1.1470387","{""coordinates"": [[-1.1470387, 53.525798]], ""type"": ""MultiPoint""}",SITE-00267168,DONCASTER B 45039,BULK SUPPLY POINT
"53.7510163, -1.0390851","{""coordinates"": [[-1.0390851, 53.7510163]], ""type"": ""MultiPoint""}",SITE-00273464,BARLOW COMMON ROAD 7386,PRIMARY SITE
"53.8000669, -1.7956455","{""coordinates"": [[-1.7956455, 53.8000669]], ""type"": ""MultiPoint""}",SITE-00272219,FOUR LANE ENDS 105,PRIMARY SITE
"53.8397872, -1.6105638","{""coordinates"": [[-1.6105638, 53.8397872]], ""type"": ""MultiPoint""}",SITE-00273467,IVESON HOUSE 3009,PRIMARY SITE
"53.5936212, -0.6162617","{""coordinates"": [[-0.6162617, 53.5936212]], ""type"": ""MultiPoint""}",SITE-00268245,FIRTH BROWN 64,PRIMARY SITE
